query,label
What year was this album released?,date album
Can you tell me the album release date?,date album
When did this album come out?,date album
What is the release date for this album?,date album
Could you give me the release year of the album?,date album
When was this album first released?,date album
Tell me the release year of this album.,date album
What's the year this album was published?,date album
Can you provide the album's release date?,date album
What genre does this artist belong to?,genre artist
What type of music does this artist make?,genre artist
Can you tell me the genre of this artist?,genre artist
What style of music does this artist perform?,genre artist
What musical genre is associated with this artist?,genre artist
In which genre is this artist's music categorized?,genre artist
Can you identify this artist's genre?,genre artist
How would you describe the genre of this artist?,genre artist
What type of songs does this artist produce?,genre artist
How many songs are there by this artist?,number songs
Can you count the songs this artist has?,number songs
Tell me how many songs this artist has released.,number songs
What's the total number of songs by this artist?,number songs
How many tracks has this artist recorded?,number songs
How many songs has this artist published?,number songs
What is the song count for this artist?,number songs
Could you tell me the number of songs by this artist?,number songs
Is there a count of songs for this artist?,number songs
How many albums does this artist have?,number albums
What's the total album count of this artist?,number albums
Can you give me the number of albums by this artist?,number albums
How many albums has this artist made?,number albums
How many records has this artist produced?,number albums
What’s the count of albums from this artist?,number albums
Can you tell me how many albums they have?,number albums
Could you provide the number of albums for this artist?,number albums
How many albums did this artist release?,number albums
Which album features this song?,which album
What album includes this song?,which album
On what album can I find this song?,which album
"Where is this song located, which album?",which album
Could you tell me the album containing this song?,which album
What record is this song part of?,which album
Do you know the album for this track?,which album
In which album was this song released?,which album
Tell me the album that has this song.,which album
Can you play a random song by this artist?,give song
Give me a random track by this artist.,give song
"Play a song by this artist, chosen at random.",give song
Can you provide any song by this artist?,give song
Select a random song from this artist's discography.,give song
Could you choose a random song by them?,give song
Find me a random song from this artist.,give song
Could you randomly pick a song by this artist?,give song
Please play any song by this artist.,give song
What year was this album released?,date album
Can you tell me the album release date?,date album
When did this album come out?,date album
What is the release date for this album?,date album
Could you give me the release year of the album?,date album
When was this album first released?,date album
Tell me the release year of this album.,date album
What's the year this album was published?,date album
Can you provide the album's release date?,date album
What genre does this artist belong to?,genre artist
What type of music does this artist make?,genre artist
Can you tell me the genre of this artist?,genre artist
What style of music does this artist perform?,genre artist
What musical genre is associated with this artist?,genre artist
Add this to my song list.,add
"Put this track into my playlist, please.",add
Could you remove this song from my playlist?,remove
Please take this song out of my playlist.,remove
I want this song removed from the list.,remove
Delete this song from my playlist.,remove
Delete this song from my playlist.,remove
Delete this song from my playlist.,remove
Delete this song from my playlist.,remove
Erase this track from my playlist.,remove
Erase this track from my playlist.,remove
Erase this track from my playlist.,remove
Erase this track from my playlist.,remove
Show me the songs currently in my playlist.,show
Display my current playlist.,show
Could you show my playlist?,show
Let me see the playlist I have.,show
Show what’s on my playlist right now.,show
Clear all the songs in my playlist.,clear
Clear all the songs in my playlist.,clear
Clear all the songs in my playlist.,clear
Clear all the songs in my playlist.,clearn
Please empty my playlist.,clear
Please empty my playlist.,clear
Please empty my playlist.,clear
Please empty my playlist.,clear
Remove every song from my playlist.,clear
In which genre is this artist's music categorized?,genre artist
Can you identify this artist's genre?,genre artist
How would you describe the genre of this artist?,genre artist
What type of songs does this artist produce?,genre artist
How many songs are there by this artist?,number songs
Can you count the songs this artist has?,number songs
Tell me how many songs this artist has released.,number songs
What's the total number of songs by this artist?,number songs
How many tracks has this artist recorded?,number songs
How many songs has this artist published?,number songs
What is the song count for this artist?,number songs
Could you tell me the number of songs by this artist?,number songs
Is there a count of songs for this artist?,number songs
How many albums does this artist have?,number albums
What's the total album count of this artist?,number albums
Can you give me the number of albums by this artist?,number albums
How many albums has this artist made?,number albums
How many records has this artist produced?,number albums
What’s the count of albums from this artist?,number albums
Can you tell me how many albums they have?,number albums
Could you provide the number of albums for this artist?,number albums
How many albums did this artist release?,number albums
Which album features this song?,which album
What album includes this song?,which album
On what album can I find this song?,which album
"Where is this song located, which album?",which album
Could you tell me the album containing this song?,which album
What record is this song part of?,which album
Do you know the album for this track?,which album
In which album was this song released?,which album
Tell me the album that has this song.,which album
Can you play a random song by this artist?,give song
Give me a random track by this artist.,give song
"Play a song by this artist, chosen at random.",give song
Can you provide any song by this artist?,give song
Select a random song from this artist's discography.,give song
Could you choose a random song by them?,give song
Find me a random song from this artist.,give song
Could you randomly pick a song by this artist?,give song
Please play any song by this artist.,give song
Recommend me songs that fit the vibe of my playlist,recommend
Recommend me songs that fit the vibe of my playlist,recommend
Recommend me songs that fit the vibe of my playlist,recommend
Can you recommend some songs based on my current playlist,recommend
Suggest new tracks similar to those in my playlist,recommend
Recommend me songs that fit the vibe of my playlist,recommend
Can you suggest music that complements my playlist,recommend
Suggest tracks that would pair well with my current playlist,recommend
Suggest a few tracks that match the mood of my playlist,recommend
Recommend songs that are in the same style as my playlist,recommend
What songs would you suggest based on my current music,recommend
Suggest a few new tracks that I might like based on my playlist,recommend
Recommend tracks similar to those in my playlist,recommend
Can you recommend some songs based on my current playlist,recommend
Erase a track from my playlist.,remove
Add this to my song list. please.,add
Add this to my song list. please. please. please.,add
Give me the total number of songs by this artist. please.,number songs
I would like to i would like to what is the release year of this album?,date album
Add this to my song list.,add
I would like to i need to know the album for this song.,which album
When did this album come out? please.,date album
How many songs does this artist have? please. please.,number songs
I would like to what is the release year of this album? please.,date album
I'd like to add a track to the playlist. please.,add
I would like to i would like to how many songs does this artist have?,number songs
Could you remove this song from my playlist? please.,remove
I would like to what is the release year of this album? please.,date album
Tell me when this album was released. please.,date album
Tell me the album containing this song. please.,which album
I would like to i would like to can you add a song to my playlist,add
I’d like to know the number of albums by a artist.,number albums
I would like to i need to know the album for a song.,which album
I would like to i would like to could you remove this song from my playlist?,remove
Tell me when this album was released.,date album
I would like to i would like to let me see the playlist i have. please. please.,show
